,,Name,상장주식수(주),최대주주등-대표주주명(Q),최대주주등-세부주주수(Q)(명),최대주주및특별관계자 보유주식수(보통)(주),최대주주및특별관계자 보유주식수(우선)(주),최대주주등-잠재주식수(Q),최대주주등-주권의 지분율(Q)(%),최대주주등-주식등 총지분율(Q)(%)
6390,,현대시멘트,16758544,에이치엘케이홀딩스,3,14172020,,,84.57,84.57
1060,,JW중외제약,19709034,JW홀딩스,8,8357965,1063535,,46.61,46.61
370,,한화손해보험,116738915,한화생명보험,4,60067403,,,51.45,51.45
71320,,지역난방공사,11578744,지식경제부,4,8683744,,,75,75
243070,,휴온스,6808282,휴온스글로벌,9,2801054,,,45.25,45.25
35900,,JYP Ent.,34647921,박진영,5,5791310,,918402,16.73,19
39200,,오스코텍,27250787,김정근,7,5339055,,119118,19.59,19.94
280360,,롯데제과,4209102,롯데알미늄(주),16,2833779,,,67.33,67.33
64760,,티씨케이,11675000,도카이카본주식회사,2,7438500,,,63.71,63.71
7570,,일양약품,19045984,정도언,5,5069098,60000,,26.62,26.62
241590,,화승엔터프라이즈,30268335,(주)화승인더스트리,6,22514494,,,74.38,74.38
9970,,영원무역홀딩스,13635592,성기학,6,6305043,,,46.24,46.24
1820,,삼화콘덴서,10395000,오영주,4,2926243,,,28.15,28.15
34310,,NICE,37882300,김광수,3,18374740,,,48.5,48.5
6120,,SK디스커버리,19037855,최창원,12,2418936,48388,,22.43,22.43
3230,,삼양식품,7533015,삼양농수산(주),12,3557176,,,47.22,47.22
34830,,한국토지신탁,252489230,리딩밸류2호사모투자전문회사,2,94844000,,,37.56,37.56
25860,,남해화학,49678843,농협경제지주,1,27820149,,,56,56
9450,,경동나비엔,12739510,경동원,3,7314867,,,57.42,57.42
30190,,NICE평가정보,60714820,NICE홀딩스,1,26102906,,,42.99,42.99
37560,,CJ헬로,77446865,CJ오쇼핑,1,41756284,,,53.92,53.92
48260,,오스템임플란트,14285717,최규옥,6,2975905,,,20.83,20.83
3540,,대신증권,50773400,양홍석,8,5760788,1388732,,11.35,11.35
640,,동아쏘시오홀딩스,6138294,강정석,26,2527388,,246700,41.17,43.45
73070,,에스모,87508375,루트원투자조합,1,17872770,,,20.42,20.42
83790,,크리스탈,26139558,조중명,8,2879229,,1166741,11.12,14.98
990,,DB하이텍,44398588,DB,7,8707400,,,19.63,19.63
33180,,필룩스,51728875,블루커넬,8,4828561,,402265,15.44,16.73
183490,,엔지켐생명과학,7674232,브리짓라이프사이언스,5,1554941,,,22.75,22.75
84110,,휴온스글로벌,10404299,윤성태,12,5614338,,,56.64,56.64
7460,,에이프로젠 KIC,49774786,지베이스,1,31007752,,,62.3,62.3
237690,,에스티팜,18656000,동아쏘시오홀딩스,7,9550912,171600,,51.64,51.64
5850,,에스엘,33865090,이성엽,6,19372254,,,57.2,57.2
25980,,아난티,82320915,중앙디앤엘,5,5473173,,,33.24,33.24
3620,,쌍용차,137949396,Mahindra &amp; Mahindra Limited,2,99964652,,,72.46,72.46
